id,class
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,1
420,0
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,0
