id,class
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,1
532,1
