n_features,t_depth,5-fold_cv_score,tn,fp,fn,tp
5000,1,0.7647851186658114,3342,1147,283,2108
5000,3,0.8447402180885183,3644,845,281,2110
5000,5,0.909012187299551,3746,743,306,2085
5000,7,0.9463438101347018,3847,642,349,2042
5000,9,0.9617382937780627,3888,601,342,2049
10000,1,0.7640153944836430,3322,1167,276,2115
10000,3,0.844964720974984,3630,859,273,2118
10000,5,0.9092046183450930,3738,751,305,2086
10000,7,0.944387427838358,3807,682,320,2071
10000,9,0.9607119948685050,3874,615,328,2063
15000,1,0.7648813341885820,3323,1166,271,2120
15000,3,0.84903784477229,3618,871,271,2120
15000,5,0.9103912764592690,3755,734,309,2082
15000,7,0.9452212957023740,3839,650,318,2073
15000,9,0.9612572161642080,3874,615,323,2068
